File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF430QXM	bigBed narrowPeak	bigBed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR286PCG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZBED1-human	DNA						2014-07-07	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF259MRC/	13195074	ENCODE Processing Pipeline	6fb51601c3725689277a06df85209d76		https://www.encodeproject.org/files/ENCFF430QXM/@@download/ENCFF430QXM.bigBed				released	s3://encode-public/2018/02/27/12e50577-60b0-48c6-b156-d3c5f2935e06/ENCFF430QXM.bigBed			
ENCFF496XVO	bigWig	bigWig		fold change over control	hg19	ENCSR286PCG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZBED1-human	DNA						2014-07-07	ENCODE		see document		2	2_1							/files/ENCFF023YMB/, /files/ENCFF986OUP/, /files/ENCFF578ISP/	780646225	ENCODE Processing Pipeline	11e0808a769fac069629bbb5eac46edf		https://www.encodeproject.org/files/ENCFF496XVO/@@download/ENCFF496XVO.bigWig				released	s3://encode-public/2018/02/27/f8a95249-9209-483d-8fd6-70d98c710340/ENCFF496XVO.bigWig			
ENCFF876HAD	bigWig	bigWig		fold change over control	hg19	ENCSR286PCG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZBED1-human	DNA						2014-07-07	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF023YMB/, /files/ENCFF016MFU/, /files/ENCFF986OUP/, /files/ENCFF578ISP/	1225909219	ENCODE Processing Pipeline	97db925a5f1d8de460e044bbe4b3f646		https://www.encodeproject.org/files/ENCFF876HAD/@@download/ENCFF876HAD.bigWig				released	s3://encode-public/2018/02/27/6276deb1-1074-4c11-8bd9-6fa7fdc46fa8/ENCFF876HAD.bigWig			
ENCFF253FON	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR286PCG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZBED1-human	DNA						2014-07-07	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF001TDO/, /files/ENCFF648RRL/, /files/ENCFF259MRC/, /files/ENCFF052CCG/	104275	ENCODE Processing Pipeline	5fdeef786b8622e06a21d2c820b3da97		https://www.encodeproject.org/files/ENCFF253FON/@@download/ENCFF253FON.bed.gz				released	s3://encode-public/2018/02/27/ae1bc35c-f435-410d-acf5-1d7d57ff1063/ENCFF253FON.bed.gz			
ENCFF979YNL	bam	bam		unfiltered alignments	hg19	ENCSR286PCG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZBED1-human	DNA						2014-07-07	ENCODE		see document		1	1_1		50					/files/ENCFF807MUK/, /files/ENCFF002BFO/	1723058051	ENCODE Processing Pipeline	3755c2fa3654203195815237d5a0702d		https://www.encodeproject.org/files/ENCFF979YNL/@@download/ENCFF979YNL.bam				released	s3://encode-public/2018/02/23/2c00e9e4-6d5e-4a8d-b58f-39ab290f7966/ENCFF979YNL.bam			
ENCFF410CMA	bam	bam		unfiltered alignments	hg19	ENCSR286PCG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZBED1-human	DNA						2014-07-07	ENCODE		see document		2	2_1		50					/files/ENCFF002BFP/, /files/ENCFF807MUK/	1748190476	ENCODE Processing Pipeline	c6d98987bf17e0d30e3cd995c104e8e4		https://www.encodeproject.org/files/ENCFF410CMA/@@download/ENCFF410CMA.bam				released	s3://encode-public/2018/02/23/232250b8-29c6-4cde-81e0-30648cd9d861/ENCFF410CMA.bam			
ENCFF002BFO	fastq	fastq		reads		ENCSR286PCG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZBED1-human	DNA						2014-07-07	ENCODE		see document		1	1_1	50		single-ended					1613808460	Richard Myers, HAIB	52bbe02cf59ba37f4d97ec59ec6d58bf	SRA:SRR5331577	https://www.encodeproject.org/files/ENCFF002BFO/@@download/ENCFF002BFO.fastq.gz		Illumina HiSeq 2000	/files/ENCFF001RVP/	released	s3://encode-public/2014/04/04/5fae68b8-29ea-4d33-a81a-1497976aae60/ENCFF002BFO.fastq.gz			
ENCFF002BFP	fastq	fastq		reads		ENCSR286PCG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZBED1-human	DNA						2014-07-07	ENCODE		see document		2	2_1	50		single-ended					1629342273	Richard Myers, HAIB	76074bb4e8e631a86aa320611017543d	SRA:SRR5331578	https://www.encodeproject.org/files/ENCFF002BFP/@@download/ENCFF002BFP.fastq.gz		Illumina HiSeq 2000	/files/ENCFF002BGC/	released	s3://encode-public/2014/04/04/0e2564aa-3472-4346-8c7c-d574b8f742f4/ENCFF002BFP.fastq.gz			
ENCFF016MFU	bam	bam		alignments	hg19	ENCSR286PCG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZBED1-human	DNA						2014-07-07	ENCODE		see document		1	1_1		50					/files/ENCFF807MUK/, /files/ENCFF002BFO/	1268017381	ENCODE Processing Pipeline	660cb5eac8d2c75e65d927c458ba0ab6		https://www.encodeproject.org/files/ENCFF016MFU/@@download/ENCFF016MFU.bam				released	s3://encode-public/2015/10/28/fd4f8393-d31b-4cba-b5fa-e4d95171bc6f/ENCFF016MFU.bam			
ENCFF986OUP	bam	bam		alignments	hg19	ENCSR286PCG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZBED1-human	DNA						2014-07-07	ENCODE		see document		2	2_1		50					/files/ENCFF002BFP/, /files/ENCFF807MUK/	1305616018	ENCODE Processing Pipeline	92955810e04dad791b7c0fb7631648e3		https://www.encodeproject.org/files/ENCFF986OUP/@@download/ENCFF986OUP.bam				released	s3://encode-public/2015/10/28/b840b075-f7f1-430c-9c6b-3178adc769cc/ENCFF986OUP.bam			
ENCFF836CBV	bigWig	bigWig		signal p-value	hg19	ENCSR286PCG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZBED1-human	DNA						2014-07-07	ENCODE		see document		1	1_1							/files/ENCFF023YMB/, /files/ENCFF016MFU/, /files/ENCFF578ISP/	1040416198	ENCODE Processing Pipeline	fb4bcafa73e4ec67965091504d90e316		https://www.encodeproject.org/files/ENCFF836CBV/@@download/ENCFF836CBV.bigWig				released	s3://encode-public/2015/10/31/0c7b2917-412e-41eb-b8ee-2f79a41cb1dd/ENCFF836CBV.bigWig			
ENCFF387DEW	bigWig	bigWig		fold change over control	hg19	ENCSR286PCG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZBED1-human	DNA						2014-07-07	ENCODE		see document		1	1_1							/files/ENCFF023YMB/, /files/ENCFF016MFU/, /files/ENCFF578ISP/	769867199	ENCODE Processing Pipeline	5cdc7e3563bcac5eb505b741c79d3139		https://www.encodeproject.org/files/ENCFF387DEW/@@download/ENCFF387DEW.bigWig				released	s3://encode-public/2015/10/31/c5abda33-f930-4697-898c-ac1ae5925f38/ENCFF387DEW.bigWig			
ENCFF061DUL	bam	bam		unfiltered alignments	GRCh38	ENCSR286PCG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZBED1-human	DNA						2014-07-07	ENCODE		see document		1	1_1		50					/files/ENCFF643CGH/, /files/ENCFF002BFO/	1726607237	ENCODE Processing Pipeline	39f59ac46bed67b46af25e848b3a76c9		https://www.encodeproject.org/files/ENCFF061DUL/@@download/ENCFF061DUL.bam				released	s3://encode-public/2016/10/09/9901a327-b843-4796-a2b3-4c595f0b8f44/ENCFF061DUL.bam			
ENCFF061RFH	bam	bam		unfiltered alignments	GRCh38	ENCSR286PCG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZBED1-human	DNA						2014-07-07	ENCODE		see document		2	2_1		50					/files/ENCFF002BFP/, /files/ENCFF643CGH/	1751658712	ENCODE Processing Pipeline	1035f4c32400b508cd611623af65beba		https://www.encodeproject.org/files/ENCFF061RFH/@@download/ENCFF061RFH.bam				released	s3://encode-public/2016/10/09/86341b20-8b2e-487f-b01c-1b245aae70b5/ENCFF061RFH.bam			
ENCFF261BXO	bam	bam		alignments	GRCh38	ENCSR286PCG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZBED1-human	DNA						2014-07-07	ENCODE		see document		2	2_1		50					/files/ENCFF002BFP/, /files/ENCFF643CGH/	1305095200	ENCODE Processing Pipeline	38f96996071f609605ab06b63c7a2a0f		https://www.encodeproject.org/files/ENCFF261BXO/@@download/ENCFF261BXO.bam				released	s3://encode-public/2016/10/09/a9505018-7a10-4f25-86a3-153f54aac176/ENCFF261BXO.bam			
ENCFF035GBL	bam	bam		alignments	GRCh38	ENCSR286PCG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZBED1-human	DNA						2014-07-07	ENCODE		see document		1	1_1		50					/files/ENCFF643CGH/, /files/ENCFF002BFO/	1267455228	ENCODE Processing Pipeline	d20b8c035213987c7e77d9322e2f5b7a		https://www.encodeproject.org/files/ENCFF035GBL/@@download/ENCFF035GBL.bam				released	s3://encode-public/2016/10/09/b4011a7e-5e6e-44bc-bf68-f1a758d6eadb/ENCFF035GBL.bam			
ENCFF377BCO	bigWig	bigWig		signal p-value	GRCh38	ENCSR286PCG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZBED1-human	DNA						2014-07-07	ENCODE		see document		1	1_1							/files/ENCFF035GBL/, /files/ENCFF121DUE/, /files/ENCFF709XAA/	1048400099	ENCODE Processing Pipeline	efcefbe47563f8212dac4f358426f0b7		https://www.encodeproject.org/files/ENCFF377BCO/@@download/ENCFF377BCO.bigWig				released	s3://encode-public/2016/10/24/882c04fb-d735-4334-b5e2-94b7c5d19fa0/ENCFF377BCO.bigWig			
ENCFF669JAP	bigWig	bigWig		signal p-value	GRCh38	ENCSR286PCG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZBED1-human	DNA						2014-07-07	ENCODE		see document		2	2_1							/files/ENCFF261BXO/, /files/ENCFF121DUE/, /files/ENCFF709XAA/	1106697203	ENCODE Processing Pipeline	6bf07c236f29d6eb7a23f270800fada1		https://www.encodeproject.org/files/ENCFF669JAP/@@download/ENCFF669JAP.bigWig				released	s3://encode-public/2016/10/24/345e9fa7-f366-4ae7-b99f-248d4c60b69a/ENCFF669JAP.bigWig			
ENCFF465PNK	bigWig	bigWig		signal p-value	GRCh38	ENCSR286PCG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZBED1-human	DNA						2014-07-07	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF261BXO/, /files/ENCFF035GBL/, /files/ENCFF121DUE/, /files/ENCFF709XAA/	1305950391	ENCODE Processing Pipeline	8457ed47cc1e865b028b1bc33b7c0f1c		https://www.encodeproject.org/files/ENCFF465PNK/@@download/ENCFF465PNK.bigWig				released	s3://encode-public/2016/10/24/e9d85ec9-5781-414a-a37f-f2358d27c6cb/ENCFF465PNK.bigWig			
ENCFF128OSD	bigWig	bigWig		fold change over control	GRCh38	ENCSR286PCG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZBED1-human	DNA						2014-07-07	ENCODE		see document		1	1_1							/files/ENCFF035GBL/, /files/ENCFF121DUE/, /files/ENCFF709XAA/	784667665	ENCODE Processing Pipeline	63ad885b429bbea56fe522ddf1331a89		https://www.encodeproject.org/files/ENCFF128OSD/@@download/ENCFF128OSD.bigWig				released	s3://encode-public/2016/10/24/1096a071-cbe7-42ac-a873-59be32c929fb/ENCFF128OSD.bigWig			
ENCFF010XWS	bigWig	bigWig		fold change over control	GRCh38	ENCSR286PCG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZBED1-human	DNA						2014-07-07	ENCODE		see document		2	2_1							/files/ENCFF261BXO/, /files/ENCFF121DUE/, /files/ENCFF709XAA/	825643500	ENCODE Processing Pipeline	9b160de48409c7da4e221bf1ef260004		https://www.encodeproject.org/files/ENCFF010XWS/@@download/ENCFF010XWS.bigWig				released	s3://encode-public/2016/10/24/4cf23ce6-5371-4f5a-86a3-549adfce2a95/ENCFF010XWS.bigWig			
ENCFF891OWF	bigWig	bigWig		fold change over control	GRCh38	ENCSR286PCG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZBED1-human	DNA						2014-07-07	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF261BXO/, /files/ENCFF035GBL/, /files/ENCFF121DUE/, /files/ENCFF709XAA/	1220605707	ENCODE Processing Pipeline	b2fff7fbcaaf4beaafb4fdbe8c3c54fa		https://www.encodeproject.org/files/ENCFF891OWF/@@download/ENCFF891OWF.bigWig				released	s3://encode-public/2016/10/24/f077d17c-df82-4e37-9a32-edf1fc1aa005/ENCFF891OWF.bigWig			
ENCFF371IMA	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR286PCG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZBED1-human	DNA						2014-07-07	ENCODE		see document		1	1_1							/files/ENCFF035GBL/, /files/ENCFF121DUE/, /files/ENCFF709XAA/	6372209	ENCODE Processing Pipeline	9731b9cdb0623a4de180b26b61ca4dc5		https://www.encodeproject.org/files/ENCFF371IMA/@@download/ENCFF371IMA.bed.gz				released	s3://encode-public/2016/10/24/97a4c558-525f-4ed9-bf17-8bbcad1ef735/ENCFF371IMA.bed.gz			
ENCFF938QIC	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR286PCG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZBED1-human	DNA						2014-07-07	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF261BXO/, /files/ENCFF035GBL/, /files/ENCFF121DUE/, /files/ENCFF709XAA/	6955462	ENCODE Processing Pipeline	34ff6da1005d65084f0a0455fe945330		https://www.encodeproject.org/files/ENCFF938QIC/@@download/ENCFF938QIC.bed.gz				released	s3://encode-public/2016/10/24/cd177784-f9fe-41c8-8693-807bc993bf56/ENCFF938QIC.bed.gz			
ENCFF135BUM	bigBed narrowPeak	bigBed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR286PCG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZBED1-human	DNA						2014-07-07	ENCODE		see document		2	2_1							/files/ENCFF086AMQ/	13271949	ENCODE Processing Pipeline	19e5f8d20c7aa5ed8b08f936170f4fb1		https://www.encodeproject.org/files/ENCFF135BUM/@@download/ENCFF135BUM.bigBed				released	s3://encode-public/2016/10/24/167c4d2c-5d5d-4baf-8d5b-a1136f73076d/ENCFF135BUM.bigBed			
ENCFF086AMQ	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR286PCG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZBED1-human	DNA						2014-07-07	ENCODE		see document		2	2_1							/files/ENCFF261BXO/, /files/ENCFF121DUE/, /files/ENCFF709XAA/	6468341	ENCODE Processing Pipeline	1d51a115dc7d2efa52004b7ef1f29901		https://www.encodeproject.org/files/ENCFF086AMQ/@@download/ENCFF086AMQ.bed.gz				released	s3://encode-public/2016/10/24/f06159e3-ce13-4b70-8dbf-70faf86258a5/ENCFF086AMQ.bed.gz			
ENCFF619KWZ	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR286PCG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZBED1-human	DNA						2014-07-07	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF371IMA/, /files/ENCFF086AMQ/, /files/ENCFF419RSJ/, /files/ENCFF938QIC/	93920	ENCODE Processing Pipeline	80c2419a8c439902fab5ff013c93e6c8		https://www.encodeproject.org/files/ENCFF619KWZ/@@download/ENCFF619KWZ.bed.gz				released	s3://encode-public/2016/10/24/7543feb3-0622-44dd-9516-64b6b2210f38/ENCFF619KWZ.bed.gz			
ENCFF634VKB	bigBed narrowPeak	bigBed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR286PCG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZBED1-human	DNA						2014-07-07	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF619KWZ/	229536	ENCODE Processing Pipeline	aaa33d4267c4d46a3b5e1d6955bad0c6		https://www.encodeproject.org/files/ENCFF634VKB/@@download/ENCFF634VKB.bigBed				released	s3://encode-public/2016/10/24/371e0aba-18d9-497a-a075-acf08165826f/ENCFF634VKB.bigBed			
ENCFF500KOA	bigBed narrowPeak	bigBed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR286PCG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZBED1-human	DNA						2014-07-07	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF388TYU/	250265	ENCODE Processing Pipeline	d9d226da9d2b8a15c0d08f46274b7646		https://www.encodeproject.org/files/ENCFF500KOA/@@download/ENCFF500KOA.bigBed				released	s3://encode-public/2016/10/24/8706b23a-0f4e-4aa0-aeb2-40584fb5d123/ENCFF500KOA.bigBed			
ENCFF486VYD	bigBed narrowPeak	bigBed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR286PCG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZBED1-human	DNA						2014-07-07	ENCODE		see document		1	1_1							/files/ENCFF371IMA/	13395172	ENCODE Processing Pipeline	d67d2396afaaa9daf6e84ff63ad8bec0		https://www.encodeproject.org/files/ENCFF486VYD/@@download/ENCFF486VYD.bigBed				released	s3://encode-public/2016/10/24/cc6edbdc-414a-4ed7-98e7-813ecede9745/ENCFF486VYD.bigBed			
ENCFF488EMC	bigBed narrowPeak	bigBed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR286PCG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZBED1-human	DNA						2014-07-07	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF938QIC/	13228534	ENCODE Processing Pipeline	3e460b032580c347f7cdc603865a5016		https://www.encodeproject.org/files/ENCFF488EMC/@@download/ENCFF488EMC.bigBed				released	s3://encode-public/2016/10/24/98e60271-34b9-48d1-b22a-ee402425b15b/ENCFF488EMC.bigBed			
ENCFF388TYU	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR286PCG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZBED1-human	DNA						2014-07-07	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF371IMA/, /files/ENCFF086AMQ/, /files/ENCFF419RSJ/, /files/ENCFF938QIC/	108938	ENCODE Processing Pipeline	97f1ac53cbf7b2049fdc18567c700d9c		https://www.encodeproject.org/files/ENCFF388TYU/@@download/ENCFF388TYU.bed.gz				released	s3://encode-public/2016/10/24/e5cc1b63-190d-45f1-945e-6adc1fd6cc42/ENCFF388TYU.bed.gz			
ENCFF653KYN	fastq	fastq		reads		ENCSR897JAS	TF ChIP-seq	EFO:0001203	MCF-7	cell line	Homo sapiens										CREB1-human	DNA						2016-07-08	ENCODE			450-650	1	1_1	100		paired-ended	2	/files/ENCFF220OFM/			2980904377	Michael Snyder, Stanford	615c0350c3399a41816d023b5e121941	SRA:SRR6214414	https://www.encodeproject.org/files/ENCFF653KYN/@@download/ENCFF653KYN.fastq.gz		Illumina HiSeq 2000	/files/ENCFF002DTS/	released	s3://encode-public/2015/06/30/faea58e1-f3fc-4466-bc03-b72b6d88a113/ENCFF653KYN.fastq.gz			
ENCFF220OFM	fastq	fastq		reads		ENCSR897JAS	TF ChIP-seq	EFO:0001203	MCF-7	cell line	Homo sapiens										CREB1-human	DNA						2016-07-08	ENCODE			450-650	1	1_1	100		paired-ended	1	/files/ENCFF653KYN/			2919066536	Michael Snyder, Stanford	918c46622b03bfe627a386e01ab91ae7	SRA:SRR6214414	https://www.encodeproject.org/files/ENCFF220OFM/@@download/ENCFF220OFM.fastq.gz		Illumina HiSeq 2000	/files/ENCFF002EFG/	released	s3://encode-public/2015/06/30/c7ba9a7c-dc26-4470-82e5-4cf65fd3737a/ENCFF220OFM.fastq.gz			
